"time","x_acc","y_acc","z_acc"
"2.675","0.08383532602293417","-0.2101180836856365","-1.251644321170449"
"2.692","0.09882876915112138","-0.369974299120903","-1.313378600549698"
"2.709","0.18625526980012655","-0.38573943900763985","-1.1718424701809882"
"2.725","0.20066987186074256","-0.43033787466883655","-1.1324638149946928"
"2.742","0.1777386032043025","-0.41737960889637465","-1.1280465830743311"
"2.759","0.10418854261860251","-0.22836159638464448","-1.0940630649298428"
"2.775","0.06598828356191516","-0.1771393586695194","-0.9462503385096788"
"2.792","-0.011481653881259261","-0.19879940181374547","-0.6312357100665569"
"2.809","-0.048671968710422515","-0.14240589894056319","-0.5670674815386534"
"2.825","-0.030489684679359197","-0.1266635554075241","-0.6150140585839748"
"2.842","0.04518891236763447","-0.10892799223065376","-0.6657575728714465"
"2.859","0.07564794618040323","-0.1843459290474653","-0.6402841089189052"
"2.875","0.03382876597419381","-0.2061439193576574","-0.5591068779230117"
"2.892","0.030053777480125426","-0.16486381446421144","-0.4967945063948631"
"2.909","0.04416209007054567","-0.10891045657396316","-0.2586988669812679"
"2.925","0.05343947537317872","-0.11291443151831626","0.04214636633396148"
"2.942","0.04396422941088676","-0.11938625788092612","0.1660685140788555"
"2.959","-0.003360599006898701","-0.03841770119965076","0.3185223443031311"
"2.975","-0.024297552040964364","0.09514671963751316","0.222732066065073"
"2.992","-0.013561346232146023","0.16043664567172528","0.21297055050730704"
"3.008","-0.005825783544033765","0.15432839192450046","0.21675299165546894"
"3.025","-0.034856063195317984","0.03332008579969406","0.13930091866254807"
"3.042","-0.04032894164845347","-0.020315058276057243","0.10290800128877162"
"3.059","-0.027442864329367874","-0.09176876763701439","-0.049183425363898275"
"3.075","-0.022279051825404166","-0.1327332307100296","-0.14560206463336944"
"3.092","-0.04950114954356104","-0.13292086223661898","-0.12959201007485388"
"3.109","-0.047273061697930094","-0.035165421405434605","-0.08427168987989425"
"3.125","-0.10580065399035811","-0.16793430795073508","-0.17246785972714423"
"3.142","-0.07560586060434579","-0.10866378833651542","-0.34338030670583247"
"3.159","0.00002802051808685064","0.03831774795651435","-0.4994517429053783"
"3.175","0.09729849084392189","0.013888824620842934","-0.40656361584961415"
"3.192","0.11144377444386482","-0.033473230534791946","-0.28700141687989233"
